,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft,horizontal_release_point_ft
129,408,543101,"DeSclafani, Anthony",2558,15.9,0.144,0.131,402,84.9,8.7,2108,90.3,90.26,94,376,32,0.0,6.56,-1.76,1.76
130,429,608566,"Márquez, Germán",2788,15.4,0.14,0.138,424,84.7,1.5,2335,90.3,89.26,118,404,25,-1.0,5.33,-1.78,1.78
131,249,592346,"González, Chi Chi",1635,15.2,0.19,0.172,245,85.7,9.6,2325,88.5,87.56,32,230,19,-0.9,5.86,-1.81,1.81
132,320,640444,"Crowe, Wil",2171,14.7,0.135,0.13,316,85.1,12.1,2345,87.9,88.3,82,296,24,0.4,6.42,-1.81,1.81
133,296,640470,"Alzolay, Adbert",1955,15.1,0.147,0.137,290,84.8,6.5,2386,89.7,89.93,69,263,33,0.2,6.28,-1.81,1.81
134,443,605400,"Nola, Aaron",2971,14.9,0.105,0.097,438,85.1,14.2,2168,86.4,87.07,144,394,49,0.7,6.81,-1.82,1.82
135,391,605200,"Davies, Zach",2577,15.2,0.177,0.166,382,84.6,10.2,1915,83.0,82.84,79,363,28,-0.2,6.15,-1.82,1.82
136,465,641816,"Mahle, Tyler",3196,14.5,0.109,0.107,454,83.2,9.7,2284,90.9,91.06,144,411,54,0.2,6.6,-1.82,1.82
137,255,641927,"Ober, Bailey",1476,17.3,0.144,0.125,253,86.0,21.1,2143,87.7,89.61,78,238,17,1.9,7.35,-1.84,1.84
138,234,570632,"Ureña, José",1695,13.8,0.211,0.191,233,88.6,8.8,2097,91.6,91.67,43,227,7,0.1,6.32,-1.85,1.85
139,296,663474,"McKenzie, Triston",1975,15.0,0.139,0.127,296,87.5,23.8,2224,88.8,89.69,97,277,19,0.9,6.78,-1.85,1.85
140,188,680686,"Gray, Josiah",1213,15.5,0.117,0.103,181,83.5,20.2,2264,89.9,88.8,57,179,9,-1.1,5.49,-1.87,1.87
141,393,592836,"Walker, Taijuan",2547,15.4,0.155,0.139,388,85.7,11.9,2090,91.1,90.1,86,352,41,-1.0,6.01,-1.87,1.87
142,194,446372,"Kluber, Corey",1338,14.5,0.12,0.114,190,82.8,15.6,2266,86.0,86.32,53,171,23,0.3,6.48,-1.88,1.88
143,352,657277,"Webb, Logan",2214,15.9,0.136,0.132,346,85.1,-3.4,2101,87.6,87.91,111,324,28,0.3,6.75,-1.89,1.89
